'Id', 'UserId', 'Name', 'Date', 'Class', 'TagBased'
'83316', '1513', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83317', '5831', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83318', '5250', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83320', '3619', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83321', '1841', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83322', '795', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83323', '5336', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83324', '2647', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83325', '4799', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83326', '5149', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83327', '6037', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83328', '1196', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83329', '3807', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83330', '1464', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83331', '5846', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83332', '4668', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83333', '2958', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83334', '2654', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83335', '1249', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83336', '145', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83337', '794', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83338', '5790', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83340', '5021', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83341', '998', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83342', '666', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83344', '1169', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83345', '4013', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83346', '4000', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83347', '2937', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83348', '2501', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
'83349', '80', 'Teacher', '2008-09-15T08:55:03.957', '3', 'False'
