id,postid,votetypeid,creationdate
749,352,2,2008-08-02T00:00:00.000
750,360,2,2008-08-02T00:00:00.000
751,86,2,2008-08-02T00:00:00.000
752,216,2,2008-08-02T00:00:00.000
753,255,3,2008-08-02T00:00:00.000
754,241,2,2008-08-02T00:00:00.000
755,275,2,2008-08-02T00:00:00.000
756,357,2,2008-08-02T00:00:00.000
757,103,2,2008-08-02T00:00:00.000
758,307,2,2008-08-02T00:00:00.000
759,269,2,2008-08-02T00:00:00.000
760,344,2,2008-08-02T00:00:00.000
761,359,2,2008-08-02T00:00:00.000
762,364,2,2008-08-02T00:00:00.000
763,362,2,2008-08-02T00:00:00.000
764,158,2,2008-08-02T00:00:00.000
766,222,2,2008-08-02T00:00:00.000
767,163,2,2008-08-02T00:00:00.000
771,371,2,2008-08-02T00:00:00.000
773,364,2,2008-08-02T00:00:00.000
774,362,2,2008-08-02T00:00:00.000
780,212,2,2008-08-02T00:00:00.000
781,325,2,2008-08-02T00:00:00.000
782,385,2,2008-08-02T00:00:00.000
783,255,3,2008-08-02T00:00:00.000
784,275,2,2008-08-02T00:00:00.000
785,239,2,2008-08-02T00:00:00.000
786,175,3,2008-08-02T00:00:00.000
787,166,2,2008-08-02T00:00:00.000
788,299,2,2008-08-02T00:00:00.000
789,169,2,2008-08-02T00:00:00.000
790,305,2,2008-08-02T00:00:00.000
791,319,2,2008-08-02T00:00:00.000
792,42,2,2008-08-02T00:00:00.000
793,298,2,2008-08-02T00:00:00.000
821,209,3,2008-08-02T00:00:00.000
823,355,3,2008-08-02T00:00:00.000
825,361,2,2008-08-02T00:00:00.000
829,388,3,2008-08-02T00:00:00.000
830,358,3,2008-08-02T00:00:00.000
831,387,3,2008-08-02T00:00:00.000
836,373,2,2008-08-02T00:00:00.000
910,372,2,2008-08-02T00:00:00.000
911,230,3,2008-08-02T00:00:00.000
912,232,3,2008-08-02T00:00:00.000
913,274,3,2008-08-02T00:00:00.000
914,380,2,2008-08-02T00:00:00.000
915,303,3,2008-08-02T00:00:00.000
916,58,2,2008-08-02T00:00:00.000
917,56,2,2008-08-02T00:00:00.000
918,387,2,2008-08-02T00:00:00.000
919,343,2,2008-08-02T00:00:00.000
920,313,2,2008-08-02T00:00:00.000
921,351,3,2008-08-02T00:00:00.000
924,387,2,2008-08-02T00:00:00.000
925,374,2,2008-08-02T00:00:00.000
928,387,2,2008-08-02T00:00:00.000
929,391,2,2008-08-02T00:00:00.000
930,374,2,2008-08-02T00:00:00.000
931,396,2,2008-08-02T00:00:00.000
932,274,2,2008-08-02T00:00:00.000
933,395,2,2008-08-02T00:00:00.000
934,208,2,2008-08-02T00:00:00.000
935,216,2,2008-08-02T00:00:00.000
936,395,2,2008-08-02T00:00:00.000
937,399,2,2008-08-02T00:00:00.000
941,388,2,2008-08-02T00:00:00.000
942,362,1,2008-08-02T00:00:00.000
945,342,1,2008-08-02T00:00:00.000
947,205,2,2008-08-02T00:00:00.000
948,402,2,2008-08-02T00:00:00.000
949,378,2,2008-08-02T00:00:00.000
950,229,2,2008-08-02T00:00:00.000
957,56,3,2008-08-02T00:00:00.000
959,58,3,2008-08-02T00:00:00.000
960,403,2,2008-08-02T00:00:00.000
961,409,2,2008-08-02T00:00:00.000
963,398,2,2008-08-02T00:00:00.000
964,401,2,2008-08-02T00:00:00.000
965,395,2,2008-08-02T00:00:00.000
966,414,2,2008-08-02T00:00:00.000
